root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
Ewd,عود,63,6,EaAd2 (عَاد2) x24; EaAda (عَادَ) x18; >uEiydu (أُعِيدُ) x18,"V: 57%, PN: 38%",148,,39,0.81,Alh (اله) x21; qwl (قول) x20; kwn (كون) x14; qwm (قوم) x13; rbb (ربب) x11,True,28,high inter-cluster connectivity (28 clusters)
mHq,محق,2,1,yamoHaqu (يَمْحَقُ) x2,V: 100%,62,The Prepared Fire,2,0.0,Alh (اله) x2; kfr (كفر) x2,False,2,verb-only; rare (2 occ.); in named cluster: The Prepared Fire
Hrb,حرب,11,4,Harob (حَرْب) x4; miHoraAb (مِحْرَاب) x4; HaAraba (حَارَبَ) x2,"N: 82%, V: 18%",183,,9,0.273,Alh (اله) x7; $yA (شيا) x4; rsl (رسل) x3; qwm (قوم) x3; kfr (كفر) x3,True,11,high inter-cluster connectivity (11 clusters)
bxs,بخس,7,2,yaboxaso (يَبْخَسْ) x5; baxos (بَخْس) x2,"V: 71%, ADJ: 14%",147,,6,0.857,$yA (شيا) x4; kwn (كون) x4; Amn (امن) x3; qwm (قوم) x3; rbb (ربب) x3,True,10,high Meccan concentration; high inter-cluster connectivity (10 clusters)
sAm,سام,3,1,yaso_#amu (يَسْـ#َمُ) x3,V: 100%,59,,2,0.667,End (عند) x2; dEw (دعو) x2; kbr (كبر) x2; rbb (ربب) x2,False,4,verb-only; rare (3 occ.)
Sgr,صغر,13,5,Sa`giruwn (صَٰغِرُون) x5; Sagiyr (صَغِير) x3; Sagiyrap (صَغِيرَة) x2,"N: 92%, ADJ: 8%",59,,11,0.769,kbr (كبر) x7; ktb (كتب) x6; kwn (كون) x6; qwl (قول) x6; rbb (ربب) x5,True,12,high inter-cluster connectivity (12 clusters)
qsT,قسط,25,5,qisoT (قِسْط) x15; tuqosiTu (تُقْسِطُ) x3; muqosiTiyn (مُقْسِطِين) x3,"N: 88%, V: 12%",19,Household Law & Lineage,15,0.36,Alh (اله) x13; qwm (قوم) x10; kwn (كون) x9; Edl (عدل) x6; byn (بين) x6,True,21,high inter-cluster connectivity (21 clusters); in named cluster: Household Law & Lineage
rhn,رهن,3,3,riha`n (رِهَٰن) x1; rahiyn (رَهِين) x1; rahiynap (رَهِينَة) x1,N: 100%,406,,3,0.667,Amn (امن) x2; Eml (عمل) x2; kll (كلل) x2; ksb (كسب) x2,False,3,noun-only; rare (3 occ.)
ASr,اصر,3,1,<iSor (إِصْر) x3,N: 100%,8,Allegiance & the Object of Worship,3,0.333,nSr (نصر) x3; Alh (اله) x2; Ax* (اخذ) x2; Amn (امن) x2; ktb (كتب) x2,False,4,noun-only; rare (3 occ.); in named cluster: Allegiance & the Object of Worship
nqm,نقم,17,4,{ntaqamo (ٱنتَقَمْ) x6; {ntiqaAm (ٱنتِقَام) x4; naqamu (نَقَمُ) x4,"V: 59%, N: 41%",4,"Revelation, Speech & Disbelief",12,0.706,Alh (اله) x7; Ezz (عزز) x5; Amn (امن) x5; Ayy (ايي) x4; kwn (كون) x4,True,5,"bridge (5 clusters); in named cluster: Revelation, Speech & Disbelief"
zyg,زيغ,9,3,zaAga (زَاغَ) x6; >azaAga (أَزَاغَ) x2; zayog (زَيْغ) x1,"V: 89%, N: 11%",28,,7,0.333,qlb (قلب) x5; Alh (اله) x4; rbb (ربب) x3; bSr (بصر) x3; Elm (علم) x2,True,5,bridge (5 clusters)
rsx,رسخ,2,1,r~a`sixuwn (رَّٰسِخُون) x2,N: 100%,96,Dunya vs. Ākhirah,2,0.0,Alh (اله) x2; Amn (امن) x2; Axr (اخر) x2; Elm (علم) x2; nzl (نزل) x2,False,4,noun-only; rare (2 occ.); in named cluster: Dunya vs. Ākhirah
whb,وهب,25,2,wahaba (وَهَبَ) x22; wah~aAb (وَهَّاب) x3,"V: 88%, N: 8%",0,The Believers' Reward,12,0.84,rbb (ربب) x10; rHm (رحم) x6; jEl (جعل) x6; SlH (صلح) x5; *rr (ذرر) x4,True,10,high inter-cluster connectivity (10 clusters); in named cluster: The Believers' Reward
ldn,لدن,18,1,l~adun (لَّدُن) x18,"N: 94%, T: 6%",0,The Believers' Reward,10,0.667,qwl (قول) x6; rbb (ربب) x5; Aty (اتي) x5; kwn (كون) x4; rHm (رحم) x3,True,8,bridge (8 clusters); in named cluster: The Believers' Reward
dAb,داب,6,3,da>ob (دَأْب) x4; da>ab (دَأَب) x1; daA^}ibayon (دَا^ئِبَيْن) x1,N: 100%,4,"Revelation, Speech & Disbelief",5,0.5,*nb (ذنب) x3; Alh (اله) x3; Awl (اول) x3; Ayy (ايي) x3; qbl (قبل) x3,False,3,"noun-only; in named cluster: Revelation, Speech & Disbelief"
*nb,ذنب,39,2,*anb (ذَنب) x37; *anuwb (ذَنُوب) x2,N: 100%,4,"Revelation, Speech & Disbelief",26,0.564,Alh (اله) x19; gfr (غفر) x19; qwl (قول) x9; kwn (كون) x9; rbb (ربب) x8,True,24,"noun-only; high inter-cluster connectivity (24 clusters); in named cluster: Revelation, Speech & Disbelief"
